i,rel_err,angle_err_deg
368,0.12651777138176923,4.864014792429052
369,0.126590656562665,4.869149171014077
370,0.1266728076640805,4.8986477971547595
371,0.12671126985068548,4.909618876544846
372,0.12691013369935597,4.924516328292482
373,0.12768123066303394,4.930045937696741
374,0.12809343029731005,4.935670214719167
375,0.1281970790345407,4.936270075817061
376,0.12834120491086679,4.961038324575564
377,0.12895165962595856,4.980581207660522
378,0.12987882729679182,5.010149539270906
379,0.12994748958107447,5.0135773922081945
380,0.13011453882006815,5.02075306812167
381,0.13011927593941572,5.038187536812016
382,0.13035644033835975,5.066686746499444
383,0.13053398194176738,5.08612829232141
384,0.13054695250360615,5.086268673331348
385,0.13064687950047407,5.100962812748085
386,0.13115139140220514,5.121686656283488
387,0.13144468181461516,5.175546209743576
388,0.1318941228840885,5.176118055748957
389,0.13223243900126996,5.178508877551066
390,0.1325813678376766,5.2091127509507515
391,0.13265721431345198,5.244640678967785
392,0.13280023557782325,5.274942685381595
393,0.13334083339082123,5.279449716906865
394,0.13351814745518994,5.2819762719904
395,0.1338857739290422,5.294546578760073
396,0.13503545168985331,5.311612201596179
397,0.1352716500485869,5.314971956410562
398,0.13577890444494453,5.317328343509417
399,0.1359005796880733,5.320831417765044
400,0.13601280726108658,5.346338009624689
401,0.1366636553208282,5.385971204762524
402,0.13675577948903442,5.389535796330618
403,0.13689923759520548,5.3966507020941945
404,0.13790975506056644,5.401322009917923
405,0.13841823646486887,5.457794203983863
406,0.13959432133360747,5.479719370610411
407,0.1403430848868208,5.494309483732625
408,0.1404558876873935,5.494596846808068
409,0.14053001433928197,5.500597036732341
410,0.1410777365398573,5.5068814658265275
411,0.14154658498093053,5.510679974464467
412,0.14165985983222787,5.519506399532095
413,0.14247429627381583,5.572703233050689
414,0.14273028053562783,5.575998003484879
415,0.14305878411521653,5.585684494447578
416,0.14385356488594456,5.612850797759982
417,0.144597127473005,5.613722983109085
418,0.1447625142888303,5.633200151296522
419,0.14479898320696635,5.672178086863241
420,0.1450960619227884,5.680680163081141
421,0.14512929466277882,5.685441036509269
422,0.14559662054250727,5.698435287178683
423,0.14569935173707885,5.705761731501349
424,0.1459807227139459,5.715777189324006
425,0.14601284378723192,5.721991587816124
426,0.14607204458977205,5.730950181187875
427,0.1460792427955681,5.744536669738825
428,0.14609069706729358,5.780542710803915
429,0.14654603014941345,5.78300354089282
430,0.14671748814841226,5.806184730665429
431,0.14732545449760517,5.81231354039294
432,0.1473466427589067,5.825132600398138
433,0.14746577652795295,5.826380697063843
434,0.14826090875597167,5.826569927921146
435,0.14843848498108683,5.851217550901903
436,0.14853914774996055,5.90550506779559
437,0.14904684571717206,5.9111177147850205
438,0.14915033936848027,5.911384125140967
439,0.14930262543712133,5.912850084177332
440,0.1496515282242335,5.913363284398178
441,0.15013619855144428,5.923165685733598
442,0.1504528793300316,5.931241225046229
443,0.15090593072238825,5.939997794307139
444,0.15157582889877225,5.941950508091909
445,0.15175983723854913,5.969962256921295
446,0.1519692518095703,5.993181248882463
447,0.15208771672512456,6.018014082653937
448,0.1521452607088439,6.029848464645737
